ISIN,Fund_Name,NAV,Date
INF194K015G8,BANDHAN Banking & PSU Debt Fund - Direct Growth,25.0862,2025-04-23
INF194K016G6,BANDHAN Banking & PSU Debt Fund - Direct IDCW,13.1961,2025-04-23
-,BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW,10.5864,2025-04-23
INF194K018M0,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,11.039,2025-04-23
INF194K015M6,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.2344,2025-04-23
-,BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8788,2025-04-23
-,BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6131,2025-04-23
INF194K01SN6,BANDHAN Banking & PSU Debt Fund - Regular Growth,24.3894,2025-04-23
INF194K01SO4,BANDHAN Banking & PSU Debt Fund - Regular IDCW,13.1701,2025-04-23
-,BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.8316,2025-04-23
INF194K014M9,BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.9388,2025-04-23
INF955L01KF1,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.5416,2025-04-23
INF955L01KC8,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,12.8139,2025-04-23
INF955L01KD6,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.5858,2025-04-23
INF955L01JX6,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,12.5449,2025-04-23
INF955L01KA2,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.3859,2025-04-23
INF955L01JY4,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.3732,2025-04-23
INF760K01KC4,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.0805,2025-04-23
INF760K01KE0,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.9211,2025-04-23
INF760K01KF7,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,11.9852,2025-04-23
INF760K01KH3,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.841,2025-04-23
INF740K01ZW2,DSP Banking & PSU Debt Fund - Direct Plan - Growth,24.8298,2025-04-23
INF740K01A18,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.4711,2025-04-23
-,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1761,2025-04-23
INF740K01ZX0,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.48,2025-04-23
INF740K01ZZ5,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.4774,2025-04-23
INF740KA1OG5,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.215,2025-04-23
INF740K01ZP6,DSP Banking & PSU Debt Fund - Regular Plan - Growth,23.9902,2025-04-23
INF740K01ZU6,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.4668,2025-04-23
-,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1761,2025-04-23
INF740K01ZQ4,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.4677,2025-04-23
INF740K01ZS0,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.4704,2025-04-23
INF740KA1OJ9,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.2145,2025-04-23
INF843K01FC8,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,25.3496,2025-04-23
INF843K01FD6,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,19.0183,2025-04-23
INF843K01FG9,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.615,2025-04-23
INF843K01FI5,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,11.1265,2025-04-23
INF843K01FF1,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5522,2025-04-23
INF843K01FK1,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,24.4777,2025-04-23
INF843K01FL9,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,18.1951,2025-04-23
INF843K01FO3,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,14.1475,2025-04-23
INF843K01FQ8,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.3731,2025-04-23
INF843K01FN5,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1473,2025-04-23
INF090I01KR8,Franklin India Banking & PSU Debt Fund - Direct - Growth,23.2277,2025-04-23
INF090I01KO5,Franklin India Banking & PSU Debt Fund - Growth,22.2482,2025-04-23
INF090I01KS6,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,11.4945,2025-04-23
INF090I01KP2,Franklin India Banking and PSU Debt Fund - IDCW ,10.8757,2025-04-23
INF179KA1JC4,HDFC Banking and PSU Debt Fund - Growth Option,22.835,2025-04-23
INF179KA1IZ7,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,23.7589,2025-04-23
INF179KA1JD2,HDFC Banking and PSU Debt Fund - IDCW Option,10.2447,2025-04-23
INF179KA1JA8,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0747,2025-04-23
-,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1907,2025-04-23
INF917K01HH5,HSBC Banking and PSU Debt Fund - Direct Growth,25.2792,2025-04-23
INF917K01HJ1,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.4021,2025-04-23
-,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3504,2025-04-23
-,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.116,2025-04-23
INF677K01AE7,HSBC Banking and PSU Debt Fund - Regular Growth,24.0162,2025-04-23
INF677K01AI8,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.6908,2025-04-23
-,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3233,2025-04-23
INF109K010A6,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,33.8115,2025-04-23
INF109K011A4,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.9566,2025-04-23
INF109K01RT3,ICICI Prudential Banking and PSU Debt Fund - Growth,32.4578,2025-04-23
INF109K01YE1,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.9778,2025-04-23
-,Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment),1040.0599,2025-04-23
INF205K01KT4,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,2408.2751,2025-04-23
-,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),1057.1464,2025-04-23
INF205K01KU2,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1027.613,2025-04-23
INF205K01JV2,Invesco India Banking and PSU Fund - Growth Option,2251.0502,2025-04-23
INF205K01JW0,Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment),1059.717,2025-04-23
INF00XX01861,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,13.2336,2025-04-23
INF00XX01879,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,13.2344,2025-04-23
INF00XX01838,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,12.9093,2025-04-23
INF00XX01846,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,12.9103,2025-04-23
INF174K01FO3,Kotak Banking and PSU Debt - Growth,64.9085,2025-04-23
INF174K01FQ8,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,12.1948,2025-04-23
INF174K01KH7,Kotak Banking and PSU Debt Direct - Growth,67.5841,2025-04-23
INF174K01KK1,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2998,2025-04-23
INF767K01GJ2,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,14.3147,2025-04-23
INF767K01GI4,LIC MF Banking & PSU Fund-Direct Plan-Growth,37.2296,2025-04-23
INF767K01GK0,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,14.0211,2025-04-23
INF767K01GL8,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,10.0547,2025-04-23
INF767K01519,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,11.2644,2025-04-23
INF767K01535,LIC MF Banking & PSU Fund-Regular Plan-Growth,34.5529,2025-04-23
INF767K01543,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,12.9318,2025-04-23
INF767K01568,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,10.3501,2025-04-23
INF769K01FY9,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,13.1665,2025-04-23
INF769K01FX1,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,13.1622,2025-04-23
INF769K01FV5,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,12.8893,2025-04-23
INF769K01FU7,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,12.8903,2025-04-23
INF204KA1U61,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,21.3785,2025-04-23
INF204KA1U53,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,21.3783,2025-04-23
INF204KA1T56,Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,20.6156,2025-04-23
INF204KA1U79,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,21.3783,2025-04-23
INF204KA1V37,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.7378,2025-04-23
INF204KA1U95,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,11.0754,2025-04-23
INF204KA1V11,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.4763,2025-04-23
INF204KA1T72,NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,20.6156,2025-04-23
INF204KA1U38,NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.671,2025-04-23
INF204KA1T98,NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,11.0137,2025-04-23
INF204KA1U12,NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.4771,2025-04-23
-,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1446.0894,2025-04-23
INF200K01V08,SBI BANKING & PSU FUND - Direct Plan - Growth,3283.0401,2025-04-23
INF200K01V40,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1306.078,2025-04-23
INF200K01V32,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1442.8775,2025-04-23
INF200K01U41,SBI BANKING & PSU FUND - Regular Paln - Growth,3091.7204,2025-04-23
-,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1410.5287,2025-04-23
INF200K01U82,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1226.7333,2025-04-23
INF200K01U74,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1410.2307,2025-04-23
INF903J01RI4,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,21.6654,2025-04-23
INF903J01PA5,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,43.3075,2025-04-23
INF903J01PB3,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.6997,2025-04-23
INF903J01LY4,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,21.5385,2025-04-23
INF903J01IN3,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,42.7122,2025-04-23
INF903J01IO1,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.7488,2025-04-23
INF0GCD01107,TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,1283.4803,2025-04-23
INF0GCD01016,TRUSTMF BANKING & PSU FUND - REGULAR GROWTH,1256.6441,2025-04-23
INF0GCD01180,TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1125.7825,2025-04-23
-,TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1284.413,2025-04-23
INF0GCD01149,TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1133.1557,2025-04-23
INF0GCD01164,TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1149.991,2025-04-23
-,TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1113.5559,2025-04-23
INF0GCD01099,TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1100.1696,2025-04-23
-,TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1216.1004,2025-04-23
INF0GCD01057,TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1114.5115,2025-04-23
INF0GCD01073,TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1126.0439,2025-04-23
-,TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1097.2454,2025-04-23
INF789FA1V03,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,13.0245,2025-04-23
INF789FA1V29,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,18.9918,2025-04-23
INF789F015Z6,UTI Banking & PSU Fund - Direct Plan - Growth Option,22.0391,2025-04-23
INF789FA1U87,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,14.6246,2025-04-23
INF789FC1HE1,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,13.4007,2025-04-23
INF789F016Z4,UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,16.4034,2025-04-23
INF789FA1U46,UTI Banking & PSU Fund - Regular Plan - Annual IDCW,12.7908,2025-04-23
INF789FA1U61,UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,14.5374,2025-04-23
INF789FA1U20,UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,14.4765,2025-04-23
INF789FC1HC5,UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,13.1867,2025-04-23
INF789F012Z3,UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,14.8764,2025-04-23
INF789F014Z9,UTI Banking & PSU Fund- Regular Plan - Growth Option,21.6778,2025-04-23
INF209K01S38,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,114.0628,2025-04-23
INF209K01785,Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,112.1967,2025-04-23
INF209KA1KT0,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,10.6225,2025-04-23
INF209K01N90,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.9075,2025-04-23
INF209KA1KS2,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,11.9347,2025-04-23
INF209K01983,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,12.7133,2025-04-23
INF846K01ZN6,Axis Corporate Bond Fund - Direct Plan - Daily IDCW,10.2348,2025-04-23
INF846K01ZQ9,Axis Corporate Bond Fund - Direct Plan - Monthly IDCW,10.4016,2025-04-23
INF846K01ZS5,Axis Corporate Bond Fund - Direct Plan - Regular IDCW,13.9671,2025-04-23
INF846K01ZO4,Axis Corporate Bond Fund - Direct Plan - Weekly IDCW,10.3795,2025-04-23
INF846K01ZM8,Axis Corporate Bond Fund - Direct Plan Growth,17.903,2025-04-23
INF846K01ZV9,Axis Corporate Bond Fund - Regular Plan - Daily IDCW,10.2347,2025-04-23
INF846K01ZY3,Axis Corporate Bond Fund - Regular Plan - Monthly IDCW,10.3938,2025-04-23
INF846K01A03,Axis Corporate Bond Fund - Regular Plan - Regular IDCW,13.0841,2025-04-23
INF846K01ZW7,Axis Corporate Bond Fund - Regular Plan - Weekly IDCW,10.261,2025-04-23
INF846K01ZU1,Axis Corporate Bond Fund - Regular Plan Growth,16.9348,2025-04-23
INF194KA1T34,BANDHAN Corporate Bond Fund - Direct Annual IDCW,10.4058,2025-04-23
INF194KA1M23,BANDHAN Corporate Bond Fund - Direct Growth,19.6084,2025-04-23
INF194KA1T00,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,11.6812,2025-04-23
INF194KA1S43,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,10.52,2025-04-23
INF194KA1M31,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,13.0089,2025-04-23
INF194KA1S76,BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,10.7316,2025-04-23
INF194KA1S19,BANDHAN Corporate Bond Fund - Regular Annual IDCW,10.3969,2025-04-23
INF194KA1L81,BANDHAN Corporate Bond Fund - Regular Growth,19.0539,2025-04-23
INF194KA1R85,BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,11.0734,2025-04-23
INF194KA1R28,BANDHAN Corporate Bond Fund - Regular Monthly IDCW,10.7752,2025-04-23
INF194KA1L99,BANDHAN Corporate Bond Fund - Regular Periodic IDCW,12.8449,2025-04-23
INF194KA1R51,BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,10.7684,2025-04-23
INF251K01EN4,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,11.3464,2025-04-23
INF251K01EI4,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,31.521,2025-04-23
INF251K01EJ2,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,10.4919,2025-04-23
INF251K01EL8,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,10.4935,2025-04-23
INF251K01GU4,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,11.5761,2025-04-23
INF251K01GP4,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,28.8801,2025-04-23
INF251K01GQ2,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,10.6481,2025-04-23
INF251K01GS8,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,10.6939,2025-04-23
INF251K01EU9,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,11.273,2025-04-23
INF251K01EP9,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,27.2339,2025-04-23
INF251K01EQ7,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,10.5313,2025-04-23
INF251K01ES3,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,10.514,2025-04-23
INF760K01HB2,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,23.1309,2025-04-23
INF760K01HC0,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.6357,2025-04-23
INF760K01GY6,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,21.6158,2025-04-23
INF760K01GZ3,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.8248,2025-04-23
INF740KA1KE8,DSP Corporate Bond Fund - Direct - Growth,16.0335,2025-04-23
INF740KA1KF5,DSP Corporate Bond Fund - Direct - IDCW,11.338,2025-04-23
INF740KA1KH1,DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.6378,2025-04-23
INF740KA1KJ7,DSP Corporate Bond Fund - Direct - IDCW - Quarterly ,11.385,2025-04-23
INF740KA1JX0,DSP Corporate Bond Fund - Regular - Growth,15.7666,2025-04-23
INF740KA1JY8,DSP Corporate Bond Fund - Regular - IDCW,11.3147,2025-04-23
INF740KA1KA6,DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.6138,2025-04-23
INF740KA1KC2,DSP Corporate Bond Fund - Regular - IDCW - Quarterly ,10.7365,2025-04-23
INF090I01FW8,Franklin India Corporate Debt Fund - Direct - GROWTH,105.4313,2025-04-23
INF090I01DG6,Franklin India Corporate Debt Fund - Growth,97.4632,2025-04-23
INF090I01DH4,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,16.6381,2025-04-23
INF090I01FX6,Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,18.6617,2025-04-23
INF090I01FU2,Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,14.798,2025-04-23
INF090I01FQ0,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,17.0765,2025-04-23
INF090I01FS6,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,13.6611,2025-04-23
INF090I01DN2,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,12.5766,2025-04-23
INF090I01DJ0,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,15.2008,2025-04-23
INF090I01DL6,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,12.0147,2025-04-23
INF179K01DC2,HDFC Corporate Bond Fund - Growth Option,32.3302,2025-04-23
INF179K01XD8,HDFC Corporate Bond Fund - Growth Option - Direct Plan,33.0213,2025-04-23
INF179KA1D33,HDFC Corporate Bond Fund - IDCW Option,19.5717,2025-04-23
INF179KA1D17,HDFC Corporate Bond Fund - IDCW Option - Direct Plan,20.2331,2025-04-23
INF179K01DD0,HDFC Corporate Bond Fund - Quarterly IDCW Option,10.5617,2025-04-23
INF179K01XB2,HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.4442,2025-04-23
INF917K01VZ8,HSBC Corporate Bond Fund - Direct Annual IDCW,11.849,2025-04-23
INF917K01HN3,HSBC Corporate Bond Fund - Direct Growth,77.0299,2025-04-23
INF917K01HP8,HSBC Corporate Bond Fund - Direct Quarterly IDCW,11.4983,2025-04-23
INF917K01HR4,HSBC Corporate Bond Fund - Direct Semi Annual IDCW,20.1221,2025-04-23
INF917K01WB7,HSBC Corporate Bond Fund - Regular Annual IDCW,11.6016,2025-04-23
INF917K01AH0,HSBC Corporate Bond Fund - Regular Growth,72.3592,2025-04-23
INF917K01AF4,HSBC Corporate Bond Fund - Regular Quarterly IDCW,11.0983,2025-04-23
INF917K01AI8,HSBC Corporate Bond Fund - Regular Semi Annual IDCW,16.8334,2025-04-23
INF917K01AK4,HSBC Corporate Bond Fund -Regular Plan - Bonus,27.486,2025-04-23
INF109K016B1,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,30.9373,2025-04-23
INF109K017B9,ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,10.3555,2025-04-23
INF109K019B5,ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,15.4096,2025-04-23
INF109K01CQ1,ICICI Prudential Corporate Bond Fund - Growth,29.5479,2025-04-23
INF109K01SK0,ICICI Prudential Corporate Bond Fund - Monthly IDCW,10.5105,2025-04-23
INF109K01SN4,ICICI Prudential Corporate Bond Fund -Quarterly IDCW,11.1455,2025-04-23
INF205K01QX3,Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment),1948.4354,2025-04-23
INF205K01RA9,Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment),1244.3693,2025-04-23
